ticker,weight
AAPL,5.77741
MSFT,5.4227
AMZN,4.002669
FB,2.136957
GOOGL,1.927259
GOOG,1.860151
TSLA,1.540529
BRK.B,1.454946
JPM,1.350231
JNJ,1.245874
V,1.075745
UNH,0.999294
DIS,0.999194
NVDA,0.997157
HD,0.9799
PG,0.975165
MA,0.940076
BAC,0.874802
PYPL,0.860283
INTC,0.772787
CMCSA,0.727285
VZ,0.709646
NFLX,0.699674
XOM,0.691972
ADBE,0.68326
T,0.640993
CSCO,0.63721
ABT,0.616589
KO,0.598486
CRM,0.58865
PFE,0.583349
CVX,0.578883
PEP,0.575036
AVGO,0.573058
WMT,0.563487
MRK,0.556365
ABBV,0.539874
TMO,0.535518
TXN,0.519514
ACN,0.518215
NKE,0.505952
MCD,0.50163
WFC,0.477951
MDT,0.473818
COST,0.462473
QCOM,0.455009
HON,0.44227
NEE,0.441008
C,0.439654
LIN,0.430953
UNP,0.429659
LLY,0.421878
DHR,0.417534
AMGN,0.417396
LOW,0.411852
BA,0.406139
BMY,0.402871
PM,0.400434
ORCL,0.399697
SBUX,0.386469
AMAT,0.371496
CAT,0.364876
UPS,0.360907
IBM,0.347962
MS,0.344329
RTX,0.341685
DE,0.341556
GE,0.340861
MMM,0.327345
GS,0.326474
BLK,0.32194
INTU,0.318732
AMT,0.314032
MU,0.303375
TGT,0.298515
SCHW,0.292197
NOW,0.289739
BKNG,0.287826
AMD,0.285748
CVS,0.28389
MO,0.27706
AXP,0.276676
LMT,0.271002
LRCX,0.270513
FIS,0.262156
ISRG,0.26188
SPGI,0.255481
CHTR,0.251672
ANTM,0.25029
CI,0.244093
MDLZ,0.24208
GILD,0.241448
SYK,0.235856
TJX,0.235606
ADP,0.235156
PLD,0.234536
TFC,0.231107
GM,0.227692
USB,0.222994
TMUS,0.222725
CCI,0.221007
ATVI,0.218747
PNC,0.218232
DUK,0.217582
ZTS,0.214917
CSX,0.214824
CME,0.213604
CB,0.210347
COP,0.206656
FISV,0.206602
BDX,0.206207
FDX,0.198909
NSC,0.19822
CL,0.1966
EL,0.19505
SO,0.193457
ITW,0.186583
ICE,0.185629
APD,0.184893
MMC,0.183525
ADSK,0.182124
SHW,0.181717
D,0.178523
EQIX,0.178416
GPN,0.178403
COF,0.175908
ILMN,0.175594
ADI,0.173066
NXPI,0.171105
ETN,0.162987
VRTX,0.162375
PGR,0.162171
BSX,0.16014
ECL,0.159325
EMR,0.159229
TWTR,0.155143
KLAC,0.154928
EW,0.15475
AON,0.153557
HUM,0.152282
NOC,0.148962
WM,0.148634
FCX,0.148139
F,0.146478
REGN,0.14621
DG,0.146159
NEM,0.145813
MCO,0.144484
HCA,0.143344
DOW,0.139788
KMB,0.135375
MET,0.133603
ROST,0.127555
JCI,0.127404
TEL,0.126811
ROP,0.126548
EXC,0.126218
MCHP,0.125564
AEP,0.125011
LHX,0.124835
GD,0.124524
BAX,0.124439
CTSH,0.122627
EOG,0.122407
IDXX,0.122158
CMG,0.121397
DD,0.120348
SYY,0.120313
BIIB,0.120108
PH,0.118777
APH,0.118687
EA,0.11789
DLR,0.11787
SRE,0.117845
HPQ,0.117336
EBAY,0.117249
AIG,0.117065
MAR,0.117018
TROW,0.116632
STZ,0.116564
CDNS,0.116109
